Year,LGA,violence_count
2011,Weddin,144
2012,Weddin,90
2013,Weddin,120
2014,Weddin,208
2015,Weddin,201
2016,Weddin,104
2017,Weddin,52
2018,Weddin,91
2008,Wentworth,127
2009,Wentworth,160
2010,Wentworth,102
2011,Wentworth,121
2012,Wentworth,62
2013,Wentworth,31
2014,Wentworth,83
2015,Wentworth,118
2016,Wentworth,47
2017,Wentworth,66
2018,Wentworth,47
2008,Western Plains Regional,358
2009,Western Plains Regional,395
2010,Western Plains Regional,412
2011,Western Plains Regional,421
2012,Western Plains Regional,295
2013,Western Plains Regional,282
2014,Western Plains Regional,179
2015,Western Plains Regional,209
2016,Western Plains Regional,157
2017,Western Plains Regional,293
2018,Western Plains Regional,270
2008,Willoughby,148
2009,Willoughby,87
2010,Willoughby,165
2011,Willoughby,174
2012,Willoughby,121
2013,Willoughby,123
2014,Willoughby,119
2015,Willoughby,185
2016,Willoughby,132
2017,Willoughby,188
2018,Willoughby,142
2008,Wingecarribee,606
2009,Wingecarribee,570
2010,Wingecarribee,538
2011,Wingecarribee,497
2012,Wingecarribee,590
2013,Wingecarribee,729
2014,Wingecarribee,747
2015,Wingecarribee,513
2016,Wingecarribee,462
2017,Wingecarribee,485
2018,Wingecarribee,393
2008,Wollondilly,520
2009,Wollondilly,418
2010,Wollondilly,402
2011,Wollondilly,479
2012,Wollondilly,485
2013,Wollondilly,577
2014,Wollondilly,549
2015,Wollondilly,385
2016,Wollondilly,433
2017,Wollondilly,487
2018,Wollondilly,406
2008,Wollongong,873
2009,Wollongong,945
2010,Wollongong,917
2011,Wollongong,775
2012,Wollongong,632
2013,Wollongong,722
2014,Wollongong,835
2015,Wollongong,559
2016,Wollongong,634
2017,Wollongong,675
2018,Wollongong,499
2008,Woollahra,1731
2009,Woollahra,1981
2010,Woollahra,2692
2011,Woollahra,2295
2012,Woollahra,2146
2013,Woollahra,2294
2014,Woollahra,2040
2015,Woollahra,1743
2016,Woollahra,1544
2017,Woollahra,1630
2018,Woollahra,1628
2008,Yass Valley,187
2009,Yass Valley,214
2010,Yass Valley,154
2011,Yass Valley,104
2012,Yass Valley,89
2013,Yass Valley,103
2014,Yass Valley,96
2015,Yass Valley,89
2016,Yass Valley,83
2017,Yass Valley,72
2018,Yass Valley,103
